"Knowledge base name","Article title","Article subtitle","Article language","Article URL","Article body","Category","Subcategory","Keywords","Last modified date","Status","Archived"
"Knowledge Base","What is a thermal printer?","A thermal printer is a printer that uses heat to generate a printout.","en","https://knowledge.labtag.com/knowledge/what-is-a-thermal-printer","<p>&nbsp;There are two types of thermal printers: direct thermal and thermal-transfer. Direct thermal printers apply heat directly to labels coated with a dye, generating a printout, whereas thermal-transfer printers apply heat to a ribbon, which then transfers ink to the label.</p>","Printers","","","2019-09-18T16:58:22.677Z","PUBLISHED","false"
"Knowledge Base","What is Direct Thermal?","Direct thermal printers use no ink, toner, or ribbon.","en","https://knowledge.labtag.com/knowledge/what-is-direct-thermal","<p>Direct thermal printing uses heat to selectively activate chemically treated, thermosensitive labels. The printer’s heated print-head comes in direct contact with the label, that has been coated with a material (a leuco dye) specially formulated to change color when exposed to heat. Once heated, the thermosensitive label reacts and darkens, creating the desired print.&nbsp;</p>
<p>As such, direct thermal printers use no ink, toner, or ribbon.</p>
<p>&nbsp;</p>
<p><strong>**Important Note**<br></strong>One important consideration when choosing this method is that the print is unstable and prone to fading over time, especially when stored in hot or humid conditions. Scratches can also produce enough heat to create marks on the label and affect the quality of the print.</p>","Printers","","","2019-09-18T16:58:23.246Z","PUBLISHED","false"
"Knowledge Base","Autoclave Labels","Autoclave labels are thermoplastic labels that resist the extreme heat and pressure of autoclaving, intended for materials that will undergo the sterilization process.","en","https://knowledge.labtag.com/knowledge/autoclave-labels","<p>These autoclave-resistant labels are ideal for labeling metal, glass, and plastic surfaces, and will withstand sterilization in steam autoclaves, dry heat ovens, gamma irradiators, and ethylene oxide gas chambers.</p>
<p>They have a working temperature range of -60°C/-76°F to +150°C/+302°F, resisting up to 30 psi of pressure as well as radiation levels as high as 50 KGy.</p>
<p>These labels are compatible with several types of printing methods:</p>
<ul>
<li>Thermal-transfer</li>
<li>Inkjet</li>
<li>Laser</li>
</ul>
<p>Available in a range of formats, including permanent or removable, as well as blackout, piggyback, and wrap-around. &nbsp;</p>
<p>&nbsp;</p>
<div class=""hs-responsive-embed-wrapper hs-responsive-embed"" style=""width: 100%; height: auto; position: relative; overflow: hidden; padding: 0; max-width: 560px; max-height: 315px; min-width: 256px; margin: 10px auto; display: block; clear: both;"">
<div class=""hs-responsive-embed-inner-wrapper"" style=""position: relative; overflow: hidden; max-width: 100%; padding-bottom: 56.25%; margin: 0;""><iframe class=""hs-responsive-embed-iframe"" height=""315"" src=""//www.youtube.com/embed/PJmQPTWCMP4"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; border: none;"" width=""560"" allowfullscreen=""allowfullscreen"" data-service=""youtube""></iframe></div>
</div>
<p>&nbsp;</p>
<div class=""hs-responsive-embed-wrapper hs-responsive-embed"" style=""width: 100%; height: auto; position: relative; overflow: hidden; padding: 0; max-width: 560px; max-height: 315px; min-width: 256px; margin: 10px auto; display: block; clear: both;"">
<div class=""hs-responsive-embed-inner-wrapper"" style=""position: relative; overflow: hidden; max-width: 100%; padding-bottom: 56.25%; margin: 0;""><iframe class=""hs-responsive-embed-iframe"" height=""315"" src=""//www.youtube.com/embed/B_Pg5_PMYac"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; border: none;"" width=""560"" allowfullscreen=""allowfullscreen"" data-service=""youtube""></iframe></div>
</div>
<p>&nbsp;</p>
<div class=""hs-responsive-embed-wrapper hs-responsive-embed"" style=""width: 100%; height: auto; position: relative; overflow: hidden; padding: 0; max-width: 560px; max-height: 315px; min-width: 256px; margin: 10px auto; display: block; clear: both;"">
<div class=""hs-responsive-embed-inner-wrapper"" style=""position: relative; overflow: hidden; max-width: 100%; padding-bottom: 56.25%; margin: 0;""><iframe class=""hs-responsive-embed-iframe"" height=""315"" src=""//www.youtube.com/embed/C4jQrS9JA6E"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; border: none;"" width=""560"" allowfullscreen=""allowfullscreen"" data-service=""youtube""></iframe></div>
</div>
<p>&nbsp;</p>","Labels","","","2019-09-18T16:58:22.052Z","PUBLISHED","false"
"Knowledge Base","What is Thermal-Transfer?","Thermal-transfer printing uses a ribbon to print information on labels.","en","https://knowledge.labtag.com/knowledge/what-is-thermal-transfer","<p>The heated print-head is used to melt the ink coating of the ribbon, transferring it to the label. Since the label itself is not reactive, the print produced by this method is much more stable and a lot more durable. The ribbon is typically composed of either resin or wax, or a combination of the two.</p>
<p>Thermal-transfer labels are usually made from a thermoplastic film, but can be made of paper material as well.</p>
<p>Thermal-transfer printing is the most widely used printing process in the world for printing of high-quality barcodes.</p>","Printers","","","2019-09-18T16:58:23.070Z","PUBLISHED","false"
"Knowledge Base","What is the difference between direct thermal and thermal-transfer?","","en","https://knowledge.labtag.com/knowledge/what-is-the-difference-between-direct-thermal-and-thermal-transfer","<p>Direct thermal and thermal-transfer printing both use a heated print-head to print on blank labels. However, with direct thermal printers, the print-head must be in direct contact with the label material, while thermal-transfer printers use an ink ribbon to print, made of wax or resin, and this is what comes into contact with the heated print-head.</p>
<p>As such, direct thermal applies heat directly to the label, which reacts with the label’s coating to generate a printout, whereas thermal-transfer printers apply heat to the ribbon, allowing the ink to then be transferred to the label.</p>","Printers","","","2019-09-18T16:58:22.881Z","PUBLISHED","false"
"Knowledge Base","Adjusting Margins in Word","","en","https://knowledge.labtag.com/knowledge/adjusting-margins-in-word","<p>Our label templates are optimized to work with most desktop printers without any need to adjust the margins.</p>
<p>However, in the case where the laser label is too close/exceeds the label margins, the side margins in the template can be adjusted to correct this issue.</p>
<p>To do so, follow these easy steps:</p>
<ul>
<li>Once your template is open in Word, click on “page layout” or the “layout” tab</li>
<li>Click the “margins” button</li>
<li>At the bottom of the drop-down window, select “custom margins”</li>
<li>In the new “page setup” window (under the “margins” tab), make sure the correct margins (Top and sides) are entered as indicated on our GA International labels for laser printers formatting appendix, Here.</li>
<li>If Word shows a warning pop-up indicating that some margins might be outside of the printable area of the page, click ignore</li>
<li>Please keep in mind that the number of the template is equivalent to the product SKU# (e.g. #23 is the corresponding template for CL, RCL and TRCL-23).</li>
</ul>","Software","","","2019-09-18T17:37:05.850Z","PUBLISHED","false"
"Knowledge Base","How to Calibrate Your Printer","Printer calibration is a simple but important process that ensures your printed labels line-up correctly on the paper, reducing waste and lost time. ","en","https://knowledge.labtag.com/knowledge/calibrate-your-printer","<p><strong>Here’s how to calibrate the different printer models we currently provide.</strong></p>
<p>&nbsp;</p>
<p><strong>Cab</strong></p>
<p>Calibrate the printer by pressing and holding the button located on the back right of the printer until the LED lights flash red; then release the button and the printer will now calibrate.</p>
<p>After going through the calibration process, you can press the feed button to make sure it is correctly calibrated as the printer should feed only one label at a time.</p>
<p>&nbsp;</p>
<p><strong>Zebra</strong></p>
<p>With the printer powered up, hold down the feed button until you get a two-flash sequence (the light will flash once, the twice) from the status light, then release the feed button.</p>
<p>You can then press the feed button to ensure only one label at a time comes out, indicating the printer is correctly calibrated.</p>
<p>&nbsp;</p>
<p><strong>Cognitive</strong></p>
<p>In the administrator’s label positioning tab, under “index settings”, select the appropriate indexing method for your labels. Click apply, save, and then calibrate to perform the calibration. You should receive a “successful” status message.</p>
<p>If calibration was successful, pressing the Feed button will eject only one label at a time.</p>","Printers","","","2019-09-18T16:58:21.394Z","PUBLISHED","false"
"Knowledge Base","Left-Aligned vs. Center-Aligned Printers","","en","https://knowledge.labtag.com/knowledge/left-aligned-vs-center-aligned-printers","<p><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967442.png"">&nbsp; &nbsp; &nbsp; &nbsp;</p>
<p><strong>Left-aligned</strong> printers is the standard printing mechanism. Here, the printhead pressure plungers need to be adjusted according to label width.</p>
<p>&nbsp;</p>
<p>&nbsp;<img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967443.png""></p>
<p><strong>Center-aligned</strong> printers provide a uniform printhead pressure for all label widths, so there is no need to adjust the pressure plungers. Here, the media guide and roller are aligned to increase print accuracy, with minimal to zero shifting. They are ideal for very narrow (less than 1”) labels.</p>","Printers","","","2019-09-18T16:58:22.521Z","PUBLISHED","false"
"Knowledge Base","Printing Labels in Color","For printing color labels, especially when multiple colors are required, inkjet printers offer the most complete solution.","en","https://knowledge.labtag.com/knowledge/printing-labels-in-color","<p>This is primarily due to the image quality provided. By allowing extremely precise placing of ink dots, these printers can more accurately reproduce an image, with very bright and vivid colors. This produces high-quality images and graphics.</p>
<p>Inkjet printers are also the only printers that can support either sheets or rolls.</p>
<p>Desktop inkjet printers, like those sold by HP, print labels in sheet format, while inkjet roll printers, such as those offered by Primera, can print labels in roll format. Both printer types provide similar quality results, though rolls printers can help reduce costs, by allowing for on-demand printing and the ability to load individual ink cartridges.</p>","Printers","","","2019-09-18T16:58:22.364Z","PUBLISHED","false"
"Knowledge Base","Cryogenic Labels","Cryogenic labels are designed to withstand the extreme temperatures of cryopreservation. ","en","https://knowledge.labtag.com/knowledge/cryogenic-labels","<p>They are perfect for long-term storage of containers in liquid and vapor phase liquid nitrogen (-196°C/-321°F), laboratory freezers (-40°C/-40°F, -80°C/-112°F, -120°C/-184°F), and transportation on dry ice.</p>
<p>Many types of cryo labels are available, depending on the desired use and application surface. This includes cryo labels specially designed for:</p>
<ul>
<li>Tubes, vials, and boxes</li>
<li>Tube and vial caps</li>
<li>Frozen surfaces</li>
<li>Microplates</li>
<li>IVF straws</li>
<li>PCR tubes</li>
<li>Metal racks</li>
<li>Cryo storage canes</li>
</ul>
<p>&nbsp;</p>
<p>These labels are compatible with several types of printers:</p>
<ul>
<li>Thermal-transfer</li>
<li>Direct thermal</li>
<li>Inkjet</li>
<li>Laser</li>
<li>DYMO</li>
<li>Automated printers</li>
</ul>
<p><br>Provided with either a permanent or removable adhesive, in white, transparent or assorted colors, the labels are available as tamper-evident, destructible, blackout, piggyback, or wrap-around labels.&nbsp;</p>
<p>&nbsp;</p>
<div class=""hs-responsive-embed-wrapper hs-responsive-embed"" style=""width: 100%; height: auto; position: relative; overflow: hidden; padding: 0; max-width: 560px; max-height: 315px; min-width: 256px; margin: 10px auto; display: block; clear: both;"">
<div class=""hs-responsive-embed-inner-wrapper"" style=""position: relative; overflow: hidden; max-width: 100%; padding-bottom: 56.25%; margin: 0;""><iframe class=""hs-responsive-embed-iframe"" height=""315"" src=""//www.youtube.com/embed/o3ucTLU90to"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; border: none;"" width=""560"" allowfullscreen=""allowfullscreen"" data-service=""youtube""></iframe></div>
</div>
<p>&nbsp;</p>","Labels","","","2019-09-18T16:58:22.210Z","PUBLISHED","false"
"Knowledge Base","Direct Thermal labels vs Chemicals and Heat","Direct thermal labels are not appropriate for any applications where the labels may be exposed to harsh chemicals, intense heat or prolonged exposure to light.","en","https://knowledge.labtag.com/knowledge/direct-thermal-labels-vs-chemicals-and-heat","<p>Direct thermal printing uses thermosensitive labels, that are coated with a special dye that can switch between two chemicals forms when exposed to heat, light or pH.</p>
<p>Specifically, direct thermal printers use a heated print-head to directly heat the thermosensitive labels, which react to the heat and darken, creating the desired print.</p>
<p>Because of this, direct thermal labels are not suitable for certain applications. This can include sterilization protocols that require high temperatures, such as steam autoclaves and dry heat ovens.</p>
<p>The coating also reacts with various classes of chemicals, including acids, clearing agents (e.g. xylene) and alcohols. Moreover, direct thermal labels are also fairly light sensitive, and will completely darken if exposed to UV light.</p>","Labels","","","2019-09-18T16:58:21.897Z","PUBLISHED","false"
"Knowledge Base","Finding the Right CryoSTUCK Labels for your Tubes","Careful consideration must be given when choosing the right CryoSTUCK® label for your cryogenic storage tubes. ","en","https://knowledge.labtag.com/knowledge/finding-the-right-cryostuck-labels-for-your-tubes","<p>There are 2 main criteria that must be addressed:</p>
<ul>
<li>Firstly, the CryoSTUCK label must be chosen so as to create an area of overlap when the label is wrapped onto the frozen tube of at least 0.25”. This ensures the best possible adhesion when the label is applied onto frozen vials.</li>
<li>Secondly, a label must be chosen so that the printable portion (the portion of the label which excludes the clear wrap-around portion) is small enough as to not overlap with the rest of the label when applied onto the tube.</li>
</ul>
<p>Luckily at LABTAG, we have eliminated the guesswork involved in choosing your CryoSTUCK® label by offering this handy sizing guide below. Additionally, we also offer Blackout CryoSTUCK® labels for when per-existing information needs to be concealed.</p>
<p>&nbsp;</p>
<p><strong>CryoSTUCK®</strong></p>
<table>
<tbody>
<tr>
<td>
<p><strong>Tube Type</strong></p>
</td>
<td>
<p><strong>Width</strong></p>
</td>
<td>
<p><strong>Height</strong></p>
</td>
<td>
<p><strong>Printable area</strong></p>
</td>
<td>
<p><strong>Recommended Labels</strong></p>
</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>
<p>&nbsp;</p>
</td>
</tr>
<tr>
<td>
<p>1.0 ml Matrix™/Biotubes™</p>
</td>
<td>
<p>1.0″</p>
</td>
<td>
<p>0.75″</p>
</td>
<td>
<p>0.5″ x 0.75″</p>
</td>
<td>
<p>L2FS-6</p>
</td>
</tr>
<tr>
<td>
<p>1.5 ml conical tubes</p>
</td>
<td>
<p>1.75″</p>
</td>
<td>
<p>0.5″</p>
</td>
<td>
<p>1.0″ x 0.5″&nbsp;</p>
</td>
<td>
<p>L2FS-1</p>
</td>
</tr>
<tr>
<td>
<p>2.0 ml cryogenic vials</p>
</td>
<td>
<p>1.125″</p>
</td>
<td>
<p>1.75″&nbsp;</p>
</td>
<td>
<p>1.125″ x 1.25″</p>
</td>
<td>
<p>L2FS-12</p>
</td>
</tr>
<tr>
<td>
<p>2.0 ml cryogenic vials</p>
</td>
<td>
<p>1.75”</p>
</td>
<td>
<p>0.75”</p>
</td>
<td>
<p>1.5″ x 0.75″</p>
</td>
<td>
<p>AHA-268</p>
</td>
</tr>
<tr>
<td>
<p>2.0 ml cryogenic vials</p>
</td>
<td>
<p>1.75”</p>
</td>
<td>
<p>0.75”</p>
</td>
<td>
<p>1.25″ x 0.75″</p>
</td>
<td>
<p>L2FS-345</p>
</td>
</tr>
<tr>
<td>
<p>2.0 ml cryogenic vials</p>
</td>
<td>
<p>1.75”</p>
</td>
<td>
<p>0.875”</p>
</td>
<td>
<p>0.875″ x 0.875″&nbsp;</p>
</td>
<td>
<p>L2FS-327</p>
</td>
</tr>
<tr>
<td>
<p>2.0 ml cryogenic vials</p>
</td>
<td>
<p>1.75″</p>
</td>
<td>
<p>0.875”</p>
</td>
<td>
<p>1.25″ x 0.875″</p>
</td>
<td>
<p>L2FS-4</p>
</td>
</tr>
<tr>
<td>
<p>2.0 ml cryogenic vials</p>
</td>
<td>
<p>1.75″</p>
</td>
<td>
<p>1.0″</p>
</td>
<td>
<p>1.5″ x 1.0″&nbsp;</p>
</td>
<td>
<p>AHA-224</p>
</td>
</tr>
<tr>
<td>
<p>2.0 ml cryogenic vials</p>
</td>
<td>
<p>1.75″</p>
</td>
<td>
<p>1.0″</p>
</td>
<td>
<p>1.0″ x 1.0″&nbsp;</p>
</td>
<td>
<p>L2FS-2</p>
</td>
</tr>
<tr>
<td>
<p>5.0 ml round bottom tubes</p>
</td>
<td>
<p>1.625″</p>
</td>
<td>
<p>2.0″</p>
</td>
<td>
<p>0.875″ x 2.0″&nbsp;</p>
</td>
<td>
<p>L2FS-5</p>
</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>
<p>&nbsp;</p>
</td>
</tr>
<tr>
<td>
<p>15 ml conical tubes</p>
</td>
<td>
<p>2.375″</p>
</td>
<td>
<p>0.625″</p>
</td>
<td>
<p>1″ x 0.625″&nbsp;</p>
</td>
<td>
<p>L2FS-312</p>
</td>
</tr>
<tr>
<td>
<p>15 ml conical tubes</p>
</td>
<td>
<p>2.72″</p>
</td>
<td>
<p>1.0″</p>
</td>
<td>
<p>1.34″ x 1.0″</p>
</td>
<td>
<p>L2FS-308</p>
</td>
</tr>
<tr>
<td>
<p>15 ml conical tubes</p>
</td>
<td>
<p>3.0""</p>
</td>
<td>
<p>1.0""</p>
</td>
<td>
<p>1.5″ x 1.0″&nbsp;</p>
</td>
<td>
<p>FIX-329</p>
</td>
</tr>
<tr>
<td>
<p>50 ml conical tubes</p>
</td>
<td>
<p>3.8″</p>
</td>
<td>
<p>0.55″</p>
</td>
<td>
<p>3.0″ x 0.55″</p>
</td>
<td>
<p>L2FS-3</p>
</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>
<p>&nbsp;</p>
</td>
</tr>
<tr>
<td>
<p>Cryo storage boxes</p>
</td>
<td>
<p>2.125″</p>
</td>
<td>
<p>0.625″</p>
</td>
<td>
<p>1.625″ x 0.625″</p>
</td>
<td>
<p>L2FS-10</p>
</td>
</tr>
<tr>
<td>
<p>Cryo storage boxes</p>
</td>
<td>
<p>3.0″</p>
</td>
<td>
<p>1.5″</p>
</td>
<td>
<p>2.5″ x 1.5″&nbsp;</p>
</td>
<td>
<p>L2FS-7</p>
</td>
</tr>
<tr>
<td>
<p>Cryo storage boxes</p>
</td>
<td>
<p>3.0″</p>
</td>
<td>
<p>4.75″</p>
</td>
<td>
<p>3.0″ x 4.75″&nbsp;</p>
</td>
<td>
<p>AHA-501</p>
</td>
</tr>
<tr>
<td>
<p>Cryo storage boxes</p>
</td>
<td>
<p>4.0""</p>
</td>
<td>
<p>5.0""</p>
</td>
<td>
<p>3.5″ x 5.0″&nbsp;</p>
</td>
<td>
<p>L2FC-9</p>
</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<p><strong>Blackout CryoSTUCK®</strong></p>
<table>
<tbody>
<tr>
<td>
<p><strong>Tube Type</strong></p>
</td>
<td>
<p><strong>Width</strong></p>
</td>
<td>
<p><strong>Height</strong></p>
</td>
<td>
<p><strong>Printable area</strong></p>
</td>
<td>
<p><strong>Recommended Labels</strong></p>
</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>
<p>&nbsp;</p>
</td>
</tr>
<tr>
<td>
<p>2.0 ml cryogenic vials</p>
</td>
<td>
<p>1.625″</p>
</td>
<td>
<p>1.125″</p>
</td>
<td>
<p>0.875″ x 1.125″</p>
</td>
<td>
<p>AEA-5</p>
</td>
</tr>
<tr>
<td>
<p>5.0 ml round bottom tubes</p>
</td>
<td>
<p>1.625″</p>
</td>
<td>
<p>1.375″</p>
</td>
<td>
<p>0.875″ x 1.375″&nbsp;</p>
</td>
<td>
<p>AEA-2</p>
</td>
</tr>
<tr>
<td>
<p>5.0 ml round bottom tubes</p>
</td>
<td>
<p>1.625″</p>
</td>
<td>
<p>2.0″</p>
</td>
<td>
<p>0.875″ x 2.0″&nbsp;</p>
</td>
<td>
<p>L2FC-5</p>
</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>
<p>&nbsp;</p>
</td>
</tr>
<tr>
<td>
<p>15 ml conical tubes</p>
</td>
<td>
<p>2.375″</p>
</td>
<td>
<p>0.875″</p>
</td>
<td>
<p>2″ x 0.875″</p>
</td>
<td>
<p>AEA-4</p>
</td>
</tr>
<tr>
<td>
<p>15 ml conical tubes</p>
</td>
<td>
<p>2.5″</p>
</td>
<td>
<p>0.75″</p>
</td>
<td>
<p>1.0″ x 0.5″</p>
</td>
<td>
<p>AEA-1</p>
</td>
</tr>
<tr>
<td>
<p>15 ml conical tubes</p>
</td>
<td>
<p>2.5″</p>
</td>
<td>
<p>0.75″</p>
</td>
<td>
<p>1.57″ x 0.75″</p>
</td>
<td>
<p>AEA-7</p>
</td>
</tr>
<tr>
<td>
<p>15 ml conical tubes</p>
</td>
<td>
<p>2.5″</p>
</td>
<td>
<p>1.0″</p>
</td>
<td>
<p>2.0″ x 1.0″</p>
</td>
<td>
<p>AEA-3</p>
</td>
</tr>
<tr>
<td>
<p>50 ml conical tubes</p>
</td>
<td>
<p>4.0″</p>
</td>
<td>
<p>1.0″</p>
</td>
<td>
<p>2.75″ x 1.0″&nbsp;</p>
</td>
<td>
<p>AEA-6</p>
</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>
<p>&nbsp;</p>
</td>
</tr>
<tr>
<td>
<p>Cryo storage boxes</p>
</td>
<td>
<p>3.0″</p>
</td>
<td>
<p>1.5″</p>
</td>
<td>
<p>2.5″ x 1.5″&nbsp;</p>
</td>
<td>
<p>L2FC-7</p>
</td>
</tr>
<tr>
<td>
<p>Cryo storage boxes</p>
</td>
<td>
<p>3.5""</p>
</td>
<td>
<p>1.25""</p>
</td>
<td>
<p>3.0″ x 1.25″</p>
</td>
<td>
<p>L2FC-11</p>
</td>
</tr>
<tr>
<td>
<p>Cryo storage boxes</p>
</td>
<td>
<p>4.0""</p>
</td>
<td>
<p>4.0""</p>
</td>
<td>
<p>3.5″ x 4.0″</p>
</td>
<td>
<p>L2FC-8</p>
</td>
</tr>
<tr>
<td>
<p>Cryo storage boxes</p>
</td>
<td>
<p>4.0""</p>
</td>
<td>
<p>5.0""</p>
</td>
<td>
<p>3.5″ x 5.0″&nbsp;</p>
</td>
<td>
<p>L2FC-9</p>
</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
