"Knowledge base name","Article title","Article subtitle","Article language","Article URL","Article body","Category","Subcategory","Keywords","Last modified date","Status","Archived"
<div class=""hs-responsive-embed-wrapper hs-responsive-embed"" style=""width: 100%; height: auto; position: relative; overflow: hidden; padding: 0; max-width: 560px; max-height: 315px; min-width: 256px; margin: 10px auto; display: block; clear: both;"">
<div class=""hs-responsive-embed-inner-wrapper"" style=""position: relative; overflow: hidden; max-width: 100%; padding-bottom: 56.25%; margin: 0;""><iframe class=""hs-responsive-embed-iframe"" height=""315"" src=""//www.youtube.com/embed/g-Reosx6oX8?start=30"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; border: none;"" width=""560"" allowfullscreen=""allowfullscreen"" data-service=""youtube""></iframe></div>
</div>
<p>&nbsp;</p>","Labels","","","2019-09-18T16:58:21.730Z","PUBLISHED","false"
"Knowledge Base","Label Size Table","The maximum dimensions to avoid overlap are indicated below for each tube/vial size.","en","https://knowledge.labtag.com/knowledge/label-size-table","<p>&nbsp;</p>
<table style=""width: 866px; height: 578px;"">
<tbody>
<tr>
<td>
<p><strong>Vial/Tube Size</strong></p>
</td>
<td>
<p><strong>Width</strong></p>
</td>
<td>
<p><strong>Height</strong></p>
</td>
</tr>
<tr>
<td>
<p>0.2 ml (PCR)</p>
</td>
<td>
<p>19 mm / 0.75″</p>
</td>
<td>
<p>7 mm / 0.28″</p>
</td>
</tr>
<tr>
<td>
<p>0.5 ml (Eppendorf™)</p>
</td>
<td>
<p>22 mm / 0.87″</p>
</td>
<td>
<p>15 mm / 0.59″</p>
</td>
</tr>
<tr>
<td>
<p>1.0 ml (Matrix™/Biotube™)</p>
</td>
<td>
<p>25 mm / 1.00""</p>
</td>
<td>
<p>32mm / 1.26""</p>
</td>
</tr>
<tr>
<td>
<p>1 ml (skirted)</p>
</td>
<td>
<p>29 mm / 1.14″</p>
</td>
<td>
<p>19 mm / 0.75″</p>
</td>
</tr>
<tr>
<td>
<p>1.5 ml (Eppendorf™)</p>
</td>
<td>
<p>29 mm / 1.14″</p>
</td>
<td>
<p>18 mm / 0.71″</p>
</td>
</tr>
<tr>
<td>
<p>1.8 – 2 ml (skirted)</p>
</td>
<td>
<p>32 mm / 1.26″</p>
</td>
<td>
<p>28 mm / 1.10″</p>
</td>
</tr>
<tr>
<td>
<p>5 ml (conical tube)</p>
</td>
<td>
<p>32 mm / 1.26″</p>
</td>
<td>
<p>67 mm / 2.64″</p>
</td>
</tr>
<tr>
<td>
<p>15 ml (conical tube)</p>
</td>
<td>
<p>44 mm / 1.73″</p>
</td>
<td>
<p>85 mm / 3.35″</p>
</td>
</tr>
<tr>
<td>
<p>50 ml (conical tube)</p>
</td>
<td>
<p>82 mm / 3.23″</p>
</td>
<td>
<p>86 mm / 3.39″</p>
</td>
</tr>
<tr>
<td>
<p>13 x 75 (blood collection vial)</p>
</td>
<td>
<p>40 mm / 1.57″</p>
</td>
<td>
<p>50 mm / 2.00″</p>
</td>
</tr>
<tr>
<td>
<p>13 x 100 (blood collection vial)</p>
</td>
<td>
<p>40 mm / 1.57″</p>
</td>
<td>
<p>75 mm / 2.95″</p>
</td>
</tr>
<tr>
<td>
<p>16 x 100 (blood collection vial)</p>
</td>
<td>
<p>50 mm / 2.00″</p>
</td>
<td>
<p>75 mm / 2.95″</p>
</td>
</tr>
<tr>
<td>
<p>16 x 125 (blood collection vial)</p>
</td>
<td>
<p>50 mm / 2.00″</p>
</td>
<td>
<p>100 mm / 4.00″</p>
</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<p>Note that these sizes are approximate and may vary depending on the exact brand of vial/tube that you are using.</p>
<p>If you do not find the information you are searching for within this table, please feel free to contact us, and our support team will gladly assist you.</p>
<p>&nbsp;</p>","Labels","","","2019-09-18T16:58:19.622Z","PUBLISHED","false"
"Knowledge Base","How to Create Sheet Format Templates in Bartender™","Creating sheet format templates in Bartender™ is easy when using the template Wizard, which guides you in a step-by-step manner. ","en","https://knowledge.labtag.com/knowledge/how-to-create-sheet-format-templates-in-bartender","<p>Once you launch Bartender™, the Wizard will appear automatically.</p>
<ul>
<li>Enter the information as instructed on each window page.</li>
<li>Click NEXT for the next window and another set of instructions.&nbsp;</li>
<li>Click BACK to review any inputs.</li>
<li>Click FINISH once you are done.&nbsp;</li>
</ul>
<p>Voila, your template is ready!</p>
<p>&nbsp;</p>
<p>Here are more details for each step:</p>
<ol>
<li><strong>Launching Bartender™</strong> will initialize the Wizard automatically. Alternately, choosing a NEW document will also launch the Wizard. Choose “Blank Template” to create a brand-new template or you can choose an existing Bartender™ document to modify an existing template.<br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967444.png""></li>
<li><strong>Select your printer</strong> from the list of available printers. <br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967445.png""></li>
<li>You will need to make a template from scratch, so choose “<strong>Specify Custom Settings.</strong>” <br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967446.png""><br><br></li>
<li>Choose your <strong>Page Size and Orientation</strong>. <br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967447.png""><br><br></li>
<li>Specify the <strong>shape of your label</strong>. <br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967448.png""><br><br></li>
<li>Specify the <strong>top, bottom, left, and right margin sizes</strong>. <br><br>You can find this information here: <br><a href=""https://cdn.labtag.com/wp-content/uploads/GA-International-Appendix-EN012020-January-28-2020.pdf"" target=""_blank"" rel=""noopener"">https://cdn.labtag.com/wp-content/uploads/GA-International-Appendix-EN012020-January-28-2020.pdf</a><br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967449.png""><br><br></li>
<li>Specify the <strong>number and rows of columns</strong>.<br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967450.png""><br><br><br></li>
<li>Label size is calculated automatically, but <strong>to specify minor changes in the label sizes, choose “Set Manually”</strong> and enter the desired size info. <br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967451.png""><br><br><br></li>
<li>Specify the <strong>printing order of the items</strong>; usually, it is “Top-Left” and “Horizontally”. <br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967452.png""><br><br><br></li>
<li>At this window, you can choose a <strong>background color or picture</strong> if desired. <br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967453.png""><br><br><br></li>
<li>This final window gives you a <strong>summary and preview of your label</strong>.<br><br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967454.png""><br><br><br></li>
<li>You are now ready to click FINISH to exit the Wizard. <br>Now you can <strong>start adding your text and barcodes to your label</strong>.<br><br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967455.png""><br><br><br></li>
<li>To <strong>change the ruler settings</strong>, go to Menu, then go to View&gt; View options. <br>For example, you can change the unit settings from mm to inches.<br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967456.png""><br><br><br></li>
<li>If you wish to <strong>make additional changes</strong>, you can launch the Wizard at anytime by double-clicking a blank portion of your label template. <br><br>Just <strong>click the Wizard button</strong> on the bottom left of the window.<br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967457.png""><br><br><br></li>
<li>Don’t forget to<strong> save your template</strong> once you are done!</li>
</ol>","Software","","","2020-09-08T17:19:07.518Z","PUBLISHED","false"
"Knowledge Base","How to Create Sheet Format Templates in ZebraDesigner","","en","https://knowledge.labtag.com/knowledge/how-to-create-sheet-format-templates-in-zebradesigner","<ol>
<li>Open the software and select Create a new label from the wizard. Click Finish.</li>
<li>Select your printer from the drop-down list and click Next.</li>
<li>Leave the Select Stock setting as is and click Next.</li>
<li>Leave the Page Size setting as is and click Next.</li>
<li>Leave the Label Layout setting as is and click Next.</li>
<li>Enter the label width and label height in the Label Dimensions page and leave all other settings as they are. Click Finish.</li>
<li>The blank template appears on the screen and can now be filled with information. Click on Bar Code on the left and then on your empty template to choose a 1D or 2D barcode and to enter the information to be encoded.</li>
<li>Click Finish and the barcode will appear on your template. The letter A above to it will allow to create a text box and enter text manually.</li>
<li>Click anywhere on your template to open the dialog box and to select font style and size as well as to enter the information you’d like to appear on your label. <br><br>Text font and font size can be chosen the same way as in a Word document.</li>
</ol>
<p>&nbsp;</p>
<p>&nbsp;</p>","Software","","","2019-09-18T16:58:20.173Z","PUBLISHED","false"
"Knowledge Base","How to display the encoded information","","en","https://knowledge.labtag.com/knowledge/how-to-display-the-encoded-information","<p><strong>BarTender</strong></p>
<ol>
<li>Double click on the barcode and select Human Readable in the left-hand pane. Select None if you do not want the encoded information to be visible.</li>
<li>Placement, Alignment, as well as Vertical and Horizontal Offset, let you place the human readable portion where you wish.<br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967458.png""><br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967459.png""><br><br></li>
</ol>
<p><strong>Zebra Designer</strong></p>
<ol>
<li>Double click on the barcode and click on the Define button next to the Barcode Type box. Select the Human Readable tab.</li>
<li>Select No interpretation if you do not want to show any human readable information. Otherwise select Below or Above barcode to place the human readable information accordingly. Custom font allows you to modify the font style and size if desired.</li>
</ol>
<p>&nbsp;</p>
<p><strong>Cablabel S3 Light/ Pro</strong></p>
<ol>
<li>Double click on the barcode and select the Barcode tab on the top of the new window. Uncheck the check box “Human readable” if you do not want to display the human readable portion of the barcode.</li>
<li>No other modifications regarding the placement of the human readable portion of the barcode are possible.</li>
</ol>","Software","","","2019-09-18T16:58:21.066Z","PUBLISHED","false"
"Knowledge Base","How to print from a database","","en","https://knowledge.labtag.com/knowledge/how-to-print-from-a-database","<p><strong>BarTender</strong></p>
<ol>
<li>Double click on either a text box or barcode to open the textbox or barcode properties dialog box.</li>
<li>Click on the icon to the right of the box Type in the Data Source tab, which by default reads Embedded Data.</li>
<li>Select Database Field from the dropdown menu and click Finish.</li>
<li>Click Database Connection Setup and select your Database Type, e.g. Excel.</li>
<li>Click Select File and browse to the location where your database is stored. Select the file you would like to retrieve your data from and click Open. Click Next, then Finish. Click OK.</li>
<li>Click on the arrow next to Field Name to select the column in your Excel file you would like to associate with your textbox or barcode, then click close.</li>
<li>To connect the same database to a different textbox or barcode, double click on the textbox/ barcode, then on the symbol next to the Type field and select Database field. Click Next.</li>
<li>Select the column you’d like to connect to the textbox/ barcode from Field Name drop down menu and click Finish, then Close.</li>
<li>Click Print to open the Print dialog box. Selected Records lets you choose how many database entries you’d like to print.<br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967460.png""><br><br></li>
<li>Leave the value at 1…. if you’d like to print all entries of your database. To print e.g. only the first 50 entries of your database, type 1-50.<br><br><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967461.png""><br><br></li>
<li>You can select how many copies per database entry will be printed by changing the value in Copies per Serial Number accordingly.</li>
<li>Click on Preview to verify that the correct records as well as the correct amount of copies per record will be printing before starting the print job.</li>
</ol>","Software","","","2019-09-18T16:58:20.870Z","PUBLISHED","false"
"Knowledge Base","LIMS","","en","https://knowledge.labtag.com/knowledge/lims","<p>What exactly constitutes a laboratory management system is continually evolving, with new features and functionality added regularly; however, the base set of functions that define the LIMS software include:</p>
<ul>
<li>Reception and logging of a sample with its associated data</li>
<li>Assignment, tracking, and scheduling of the sample’s analytical workload</li>
<li>Quality control associated with the sample and any utilized equipment and inventory</li>
<li>Storage of data acquired from any performed analyses</li>
<li>Compilation, inspection, and approval of data for reporting and further analysis</li>
</ul>
<p>&nbsp;</p>
<p>Barcode labels are an indispensable part of a functional LIMS system. Without the use of barcodes, it would be impossible to properly track samples or to automate analytical workflows, as you would need to manually enter information at every step of the analysis. However, barcode labels serve a purpose beyond their ability to label your samples with scannable barcodes.</p>
<p>In addition to the use of barcodes, you should also consider factors that might affect the quality of your labels, including loss of adhesion, smudging, or fading, all of which can result in the loss of information associated with the sample. As such, it is critical that you use the appropriate labels for your application. Luckily, a wide range of specialty labels exists that can match any laboratory storage and/or usage condition, making it possible to achieve a 100% accurate sample identification and associated data traceability.</p>
<p>Regardless of your lab’s specific needs, there is a smart labeling solution available to meet your demanding standards. Ideal for all SOPs in biomedical and clinical research, from blood work and molecular biology to diagnostics and the identification of medication in clinical trials. They can also be made compatible with various printing methods commonly used in all laboratories and research facilities, such as thermal transfer, direct thermal, laser, and inkjet, or even automated print-and-apply systems.</p>","Software","","","2019-09-18T16:58:20.684Z","PUBLISHED","false"
"Knowledge Base","Speed and Darkness Settings","","en","https://knowledge.labtag.com/knowledge/speed-and-darkness-settings","<p><strong>Speed and Darkness settings in Cab Label Software</strong></p>
<p>Select the print option of the label template.</p>
<p>Highlight the CAB MACH1/300 printer and double click the small icon on the far right-hand side, ‘Configure the currently selected device’. Alternatively, highlight the CAB MACH1/300 printer and right click it, then select ‘Configure the currently selected device’.</p>
<p>Here, the CAB MACH1 properties box will appear—select the ‘Options’ tab where the Speed and Darkness settings can be found.</p>
<p>If your printout is too faint, you will want to decrease the speed (the lowest setting is 50.8 mm/s) and increase the darkness (the highest setting is 19).</p>
<p><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967462.png""></p>
<p>&nbsp;</p>
<p><strong>Speed and Darkness in Zebra Designer</strong></p>
<p>Select File, then Printer Settings. Navigate to the Options tab, and here you will find the speed and darkness.</p>
<p>If your printout is too faint, you can decrease the speed (lowest setting is 2”/sec) and increase the darkness (highest setting is 30).</p>
<p><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967463.png""></p>
<p>&nbsp;</p>
<p><strong>Speed and Darkness in BarTender:</strong></p>
<p>Press the Print button and select 'Document Properties' underneath your printer's name.</p>
<p>If your printout is faint, select the 'Options' tab and uncheck 'Use current printer settings' in the 'Darkness' field. With 'Relative' selected, move the bar to the right and confirm with OK (the maximum value will depend on the driver/printer you are using).</p>
<p>To adjust the speed, uncheck 'Use current printer settings' in the 'Speed Settings' field. Then reduce the printing speed (lowest value will depend on the driver/printer you are using).<br><br></p>
<p><img class=""hs-image-align-none"" src=""https://cdn2.hubspot.net/hubfs/4079112/image-967464.png""></p>","Software","","","2019-09-18T16:58:20.500Z","PUBLISHED","false"
"Knowledge Base","How to Create Sheet Format Templates in Cablabel S3 Light & Pro","","en","https://knowledge.labtag.com/knowledge/how-to-create-sheet-format-templates-in-cablabel","<ol>
<li>Open the software and select New Label from the pane on the left.</li>
<li>Select measuring unit, mm or inch, from the drop down and enter the label dimensions on the right. No other specifications due have to be changed, unless you are using a label which is more than one across. Please enter the correct amount of Label columns in that case.</li>
<li>Click Next and the blank label template will appear.</li>
<li>Click on Text in the top left corner and anywhere on your template to open the Text properties: editing dialog. Enter the text you’d like to appear on your template and select the font properties you’d like to use. Click OK once you are done.</li>
<li>Click on Barcode in the top left corner and anywhere on your template to open the Barcode properties: editing dialog.</li>
<li>Enter the value you’d like to encode in the box on the bottom of the screen. Select the 1D or 2D barcode you’d like to use from the pane on the left-hand side of the window.</li>
<li>Click OK once you are finished.</li>
</ol>","Software","","","2020-04-14T19:28:22.632Z","PUBLISHED","false"
"Knowledge Base","How to match a ribbon to your labels","Careful consideration must be given when choosing a thermal-transfer ribbon. There are 4 main criteria that must be addressed.","en","https://knowledge.labtag.com/knowledge/how-to-match-a-ribbon-to-your-labels","<p>&nbsp;</p>
<ul>
<li>The ribbon must be carefully matched with the material of the label being printed. For example, NitroTAG™ labels must be printed with RR class ribbons in order to ensure printout quality and optimal performance under cryogenic conditions.</li>
</ul>
<p>&nbsp;</p>
<ul>
<li>Ribbons are available in either 0.5"" or 1"" diameter cores, which are the cardboard cylinders that hold the ribbon. It is best to consult the user manual of your thermal printer to ensure the right core diameter is used.</li>
</ul>
<p>&nbsp;</p>
<ul>
<li>Choose a ribbon that is within the maximum width parameter of your printer (see your printer’s user manual), but still covers the entire width of your label to ensure that the printout encompasses the complete printable area of your label. It is fine to use a ribbon that is wider than your label width, though this can result in excessive ribbon waste. However, this may be advantageous in certain circumstances when different labels sizes are printed, as this will avoid unwanted swapping of ribbons.</li>
</ul>
<p>&nbsp;</p>
<ul>
<li>Lastly, certain ribbon types are available in various lengths. Though, these varied ribbon lengths may be supplied on rolls that are too thick to fit into some of the smaller desktop thermal printers. Again, check your printer's user manual for the right size recommendation.</li>
</ul>
<p>&nbsp;</p>
<p>Luckily at LABTAG, we have made your choice easier by offering quick and easy recommendations once you have chosen your desired label on our website. From there, use the handy filtering options to choose your ribbon according to your thermal printer type.</p>
<p>Our ribbon recommendations are the result of extensive research and development with careful consideration given to the performance of the label and ribbon as a whole.</p>","Ribbons","","","2019-09-18T16:58:19.998Z","PUBLISHED","false"
"Knowledge Base","Core Size","Core size applies to labels that come in roll format. The core size refers to the diameter of the plastic or cardboard tube on which your labels are rolled. ","en","https://knowledge.labtag.com/knowledge/core-size","<p>The inside diameter (I.D.) will determine if the label roll will fit on the label spindle, and as such is compatible with your printer. The outside diameter (O.D.) is less important, as it plays a role in determining the length of the roll (i.e. number of labels the roll can hold).</p>
